,MSE,MAE,RMSE,R2
0,2913.126361616804,2918.967989425083,3037.748810947352,0.49659382469155045
1,2899.808813727638,2913.750675065955,3027.5418989713953,0.5241160503153055
2,2892.2556942208585,2915.80674426211,3021.621529075726,0.5397253847925412
3,2895.0869259377314,2925.3935229039407,3023.85231712726,0.5338742768764162
4,2890.135546515415,2913.6288711587063,3019.941686819555,0.5441068605607923
5,2911.5328752289615,2921.969162723022,3036.542482832039,0.49988692308484983
6,2892.4003062954043,2912.923277695186,3021.7358187285845,0.539426537406317
7,2939.596193561836,2937.708141766814,3057.238995356379,0.44189095483352814
8,2899.1668343161805,2913.0525460935496,3027.042507928004,0.5254427881050211
9,2934.434415016608,2937.0814728560226,3053.5159394165294,0.45255838960744965
10,2925.645557299519,2929.9021584765537,3047.092330117604,0.47072148743682873
11,2920.3407425167584,2925.510914467552,3043.161694973709,0.4816844830000496
12,2930.3270870741276,2928.188925063459,3050.5274557534876,0.46104656842721325
13,2932.884073387414,2931.9231611522237,3052.3906590869738,0.4557623151669923
14,2937.0339986925273,2937.6825136806506,3055.3954319284057,0.4471860501036452
15,2939.549698076065,2935.9336829388135,3057.205620787213,0.44198704322362303
16,2939.5690891652075,2936.310274809475,3057.219554503962,0.4419469858156717
17,2941.1895970108885,2937.208452143778,3058.3810624970656,0.43859799938435606
18,2944.364311433386,2939.1674331921563,3060.6466184894407,0.4320370959666291
19,2944.682564159039,2937.016730836413,3060.873008211098,0.43137941443842975
