,MSE,MAE,RMSE,R2
0,2924.01524608884,2923.307562567807,3045.8887223946085,0.5252507311153849
1,2901.3300770169976,2903.4659665048157,3028.722516061755,0.5675716224365805
2,2951.8776700841568,2940.962576954426,3065.9567247670147,0.4732713311469712
3,3029.6860325749567,3002.172979939366,3117.2602385555715,0.32811412840604026
4,2912.1408663242064,2909.490092826992,3037.0032243992096,0.5474033211500235
5,2951.9756373831096,2935.1733332860204,3066.0254976118267,0.47308853240559157
6,2937.1976369255394,2926.5915405524784,3055.5134372390644,0.5006580351929691
7,2914.3343816834367,2903.296489380976,3038.660739533066,0.543311107090416
8,2930.9100804180143,2913.900429345492,3050.953064449141,0.5123879499793815
9,2907.8959263410707,2899.3039984873694,3033.774185069149,0.555322525193864
10,2906.5580241290263,2899.9074611246706,3032.7505213453137,0.557818491888145
11,2939.50230685136,2919.729964678164,3057.171582707726,0.4963584886692184
12,2933.990310970746,2913.267921543872,3053.1939378575603,0.5066415594174517
13,2928.4274901995136,2912.8853580803184,3049.137368454666,0.517019362292783
14,2923.2709202103083,2909.44217079403,3045.337909301309,0.5266392969173993
15,2915.5921816119317,2904.0810239849834,3039.607800990297,0.540964572704935
16,2921.5232506115335,2908.234980115299,3044.041443308836,0.529899720941721
17,2918.130622811735,2903.7791765520265,3041.511843384065,0.5362289356246681
18,2918.256855650379,2905.39712988297,3041.606260902798,0.535993437418815
19,2920.8918873652183,2907.0628227815373,3043.5719765809386,0.5310775513359365
